KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K01919	K01919	gshA	glutamate--cysteine ligase [EC:6.3.2.2]	Glutathione biosynthesis, glutamate => glutathione	map00270 Cysteine and methionine metabolism,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	71	-1.274	-0.825	-0.845	1.111	-0.825	-0.979	1.227	-0.979	0.963	-1.345	-1.408	-1.466	1.615	1.912	-1.519
K01920	K01920	gshB	glutathione synthase [EC:6.3.2.3]	Glutathione biosynthesis, glutamate => glutathione	map00270 Cysteine and methionine metabolism,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	21	-0.449	-0.016	0	2.038	-0.016	1.601	-0.627	-0.167	-0.372	-0.515	-0.574	-0.627	-0.986	-1.24	2.285
K03610	K01920	minC	septum site-determining protein MinC	""	""	21	-0.449	-0.016	0	2.038	-0.016	1.601	-0.627	-0.167	-0.372	-0.515	-0.574	-0.627	-0.986	-1.24	2.285
K01932	K01932	capB, pgsB	gamma-polyglutamate synthase [EC:6.3.2.-]	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	""	29	1.732	-0.189	1.301	-0.689	-0.189	-0.339	-0.802	-0.339	-0.545	-0.689	-0.748	1.956	-1.166	0.212	-0.85
K01935	K01935	bioD	dethiobiotin synthetase [EC:6.3.3.3]	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	map00780 Biotin metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	31	-0.66	-0.226	0.517	1.767	1.209	1.37	-0.84	-0.377	1.598	-0.306	-0.787	-0.84	-1.206	-1.467	1.97
K01937	K01937	pyrG, CTPS	CTP synthase [EC:6.3.4.2]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism,map01240 Biosynthesis of cofactors	116	-0.845	-1.106	0.092	0.158	-0.339	-1.459	0.269	-2.036	0.015	0.158	0.216	0.269	0.623	0.105	0.316
K01938	K01938	fhs	formate--tetrahydrofolate ligase [EC:6.3.4.3]	C1-unit interconversion, prokaryotes	map00670 One carbon pool by folate,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01240 Biosynthesis of cofactors	107	-2.015	-0.034	0.398	0.029	-0.034	0.116	0.575	0.116	-1.911	-2.111	0.523	0.575	0.934	1.186	0.623
K01941	K01941	E6.3.4.6	urea carboxylase [EC:6.3.4.6]	""	map00220 Arginine biosynthesis,map00791 Atrazine degradation,map01100 Metabolic pathways	20	-0.424	0.008	1.544	0.351	0.008	1.067	-0.602	-0.142	0.128	-0.49	-0.549	-0.602	-0.961	-1.213	2.328
K01953	K01953	asnB, ASNS	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	""	map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	23	-0.496	1.381	-0.05	-0.134	-0.064	-0.214	-0.674	-0.214	-0.419	1.974	-0.622	-0.268	-0.668	-1.29	2.207
K01955	K01955	carB, CPA2	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	117	0.044	-0.386	0.044	0.11	-0.386	-0.236	0.221	-2.102	-1.459	0.11	0.169	0.221	0.575	0.042	-0.176
K01956	K01956	carA, CPA1	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	map00240 Pyrimidine metabolism,map00250 Alanine, aspartate and glutamate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	115	0.135	-0.295	0.135	0.201	-0.295	-0.145	0.312	-1.978	-2.291	0.201	0.26	0.312	0.667	0.161	-0.071
K01958	K01958	PC, pyc	pyruvate carboxylase [EC:6.4.1.1]	Reductive citrate cycle (Arnon-Buchanan cycle)	map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	25	-0.54	-0.108	1.398	-0.607	1.334	-0.258	-0.719	-0.258	-0.463	1.915	-0.666	-0.315	-1.081	-1.338	2.138
K01960	K01960	pycB	pyruvate carboxylase subunit B [EC:6.4.1.1]	Reductive citrate cycle (Arnon-Buchanan cycle)	map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids	32	-0.679	-0.245	-0.679	-0.325	1.19	1.351	-0.859	1.351	1.577	-0.746	1.817	-0.859	-1.225	-1.488	1.945
K01962	K01962	accA	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]	Fatty acid biosynthesis, initiation	map00061 Fatty acid biosynthesis,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism	99	0.582	0.149	0.582	0.649	0.149	0.3	-2.009	0.3	0.505	0.649	-1.938	0.761	1.125	1.383	-2.077
K01963	K01962	accD	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	Fatty acid biosynthesis, initiation	map00061 Fatty acid biosynthesis,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01212 Fatty acid metabolism	99	0.582	0.149	0.582	0.649	0.149	0.3	-2.009	0.3	0.505	0.649	-1.938	0.761	1.125	1.383	-2.077
K01965	K01965	PCCA, pccA	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	Ethylmalonyl pathway	map00280 Valine, leucine and isoleucine degradation,map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	20	-0.424	0.008	-0.424	-0.057	0.008	0.437	-0.602	-0.142	-0.347	-0.49	2.161	-0.602	-0.961	-1.213	2.328
K01966	K01966	PCCB, pccB	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	Ethylmalonyl pathway	map00280 Valine, leucine and isoleucine degradation,map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	37	-0.766	-0.331	-0.766	-0.415	1.101	-0.482	-0.947	-0.482	-0.689	1.644	1.712	1.776	-1.317	-1.585	1.835
K01971	K01971	ligD	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	""	map03450 Non-homologous end-joining	25	1.83	1.334	-0.097	-0.181	-0.108	-0.258	-0.719	-0.258	-0.463	1.915	-0.666	1.673	-1.081	-1.338	-0.767
K01975	K01975	thpR	RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]	""	""	15	-0.281	0.15	0.18	0.097	0.15	0	-0.458	0	-0.204	1.117	-0.406	2.513	-0.815	-1.065	-0.506
K01989	K01989	K01989	putative tryptophan/tyrosine transport system substrate-binding protein	""	""	83	-1.462	-1.003	-1.462	-1.124	-1.003	0.578	1.045	0.578	-0.483	0.515	-1.602	-1.663	1.42	1.695	1.094
K05832	K01989	K05832	putative tryptophan/tyrosine transport system permease protein	""	""	83	-1.462	-1.003	-1.462	-1.124	-1.003	0.578	1.045	0.578	-0.483	0.515	-1.602	-1.663	1.42	1.695	1.094
K05833	K01989	K05833	putative tryptophan/tyrosine transport system ATP-binding protein	""	""	83	-1.462	-1.003	-1.462	-1.124	-1.003	0.578	1.045	0.578	-0.483	0.515	-1.602	-1.663	1.42	1.695	1.094
K01991	K01991	wza, gfcE	polysaccharide biosynthesis/export protein	""	map02020 Two-component system,map02026 Biofilm formation - Escherichia coli	58	-1.085	-0.643	-1.085	1.3	-0.643	-0.796	-1.271	-0.796	-0.552	0.888	1.363	1.42	1.136	-1.967	1.472
K01992	K01992	ABC-2.P	ABC-2 type transport system permease protein	""	""	115	0.135	-0.295	0.135	0.201	-0.295	-0.145	0.312	-0.145	-0.443	0.201	0.26	0.312	0.667	0.914	-3.209
K01993	K01993	ABC-2.TX	HlyD family secretion protein	""	""	15	-0.281	0.15	2.183	0.097	0.15	0	-0.458	0	-0.204	-0.347	2.403	-0.458	-0.815	-1.065	-0.506
K01995	K01995	livG	branched-chain amino acid transport system ATP-binding protein	""	map02010 ABC transporters,map02024 Quorum sensing	68	-1.229	-0.783	-0.801	-0.888	-0.783	0.796	-1.42	0.796	-1.149	-0.888	-1.363	-1.42	1.664	1.967	1.322
K01996	K01995	livF	branched-chain amino acid transport system ATP-binding protein	""	map02010 ABC transporters,map02024 Quorum sensing	68	-1.229	-0.783	-0.801	-0.888	-0.783	0.796	-1.42	0.796	-1.149	-0.888	-1.363	-1.42	1.664	1.967	1.322
K01997	K01995	livH	branched-chain amino acid transport system permease protein	""	map02010 ABC transporters,map02024 Quorum sensing	68	-1.229	-0.783	-0.801	-0.888	-0.783	0.796	-1.42	0.796	-1.149	-0.888	-1.363	-1.42	1.664	1.967	1.322
K01998	K01995	livM	branched-chain amino acid transport system permease protein	""	map02010 ABC transporters,map02024 Quorum sensing	68	-1.229	-0.783	-0.801	-0.888	-0.783	0.796	-1.42	0.796	-1.149	-0.888	-1.363	-1.42	1.664	1.967	1.322
K01999	K01999	livK	branched-chain amino acid transport system substrate-binding protein	""	map02010 ABC transporters,map02024 Quorum sensing	69	-1.244	-0.797	-0.815	-0.903	-0.797	0.782	-1.435	0.782	-0.71	-0.903	-1.378	-1.435	1.647	1.948	1.307
K02000	K02000	proV	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	""	map02010 ABC transporters	16	-0.312	1.581	2.136	-0.379	1.581	-0.031	-0.49	-0.031	0.247	0.063	-0.437	-0.49	-0.847	0.032	-0.538
K02001	K02001	proW	glycine betaine/proline transport system permease protein	""	map02010 ABC transporters	21	-0.449	1.432	0	-0.515	1.432	1.039	-0.627	-0.167	-0.372	-0.084	-0.574	-0.627	-0.264	-0.146	1.23
K02002	K02002	proX	glycine betaine/proline transport system substrate-binding protein	""	map02010 ABC transporters	17	-0.342	1.548	1.653	-0.408	1.548	-0.061	-0.52	-0.061	-0.265	0.031	0.649	-0.52	-0.877	-0.008	-0.567
K02003	K02003	ABC.CD.A	putative ABC transport system ATP-binding protein	""	""	119	-0.066	-0.496	-0.066	0	-0.496	-0.346	0.11	-0.346	-0.142	0	-3.074	0.11	0.464	0.709	0.158
K02004	K02003	ABC.CD.P	putative ABC transport system permease protein	""	""	119	-0.066	-0.496	-0.066	0	-0.496	-0.346	0.11	-0.346	-0.142	0	-3.074	0.11	0.464	0.709	0.158
K02005	K02005	ABC.CD.TX	HlyD family secretion protein	""	""	84	0.847	0.411	0.414	-1.141	-1.018	0.562	-1.681	-1.175	-1.394	-1.553	0.975	-1.681	1.403	1.677	1.078
K02006	K02006	cbiO	cobalt/nickel transport system ATP-binding protein	""	map02010 ABC transporters	72	-1.289	-0.839	-1.289	-1.36	0.587	0.74	-1.481	0.74	0.948	0.683	-1.423	-1.481	0.517	1.219	1.263
K02007	K02007	cbiM	cobalt/nickel transport system permease protein	""	map02010 ABC transporters	28	-0.603	-0.169	-0.603	-0.67	1.269	0.873	-0.782	1.432	1.664	-0.67	-0.729	-0.782	-1.146	0.903	-0.83
K02008	K02008	cbiQ	cobalt/nickel transport system permease protein	""	map02010 ABC transporters	82	-1.445	-0.987	0.879	-1.519	0.442	0.031	1.061	0.593	0.8	0.531	-1.585	-1.645	1.437	1.714	-1.701
K02009	K02009	cbiN	cobalt/nickel transport protein	""	map02010 ABC transporters	9	-0.044	0.386	-0.044	-0.11	1.894	2.102	-0.221	0.236	0.032	-0.11	-0.169	-0.221	-0.575	0.447	-0.269
K02010	K02010	afuC, fbpC	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	""	map02010 ABC transporters	100	-1.804	0.129	0.562	0.629	-1.312	-0.292	0.741	0.279	0.485	0.629	-1.965	-2.038	1.103	1.36	0.789
K02011	K02011	afuB, fbpB	iron(III) transport system permease protein	""	map02010 ABC transporters	38	-0.783	-0.347	0.385	-0.433	-0.347	0.684	0.987	0.065	1.463	1.213	-0.505	-0.964	0.728	-1.604	-1.013
K02012	K02012	afuA, fbpA	iron(III) transport system substrate-binding protein	""	map02010 ABC transporters	41	-0.832	-0.395	0.652	-0.483	-0.395	0.634	-0.243	0.016	1.411	1.158	-0.959	-1.013	0.435	-1.659	1.756
K02013	K02013	ABC.FEV.A	iron complex transport system ATP-binding protein [EC:7.2.2.-]	""	""	125	-0.787	-1.217	-0.787	-0.722	-1.217	-1.067	-0.611	-2.171	-0.864	-0.722	-0.663	-0.611	-0.26	-0.019	-0.564
K02014	K02014	TC.FEV.OM	iron complex outermembrane recepter protein	""	""	45	1.429	-0.457	-0.894	1.502	-0.457	1.128	-0.308	-0.608	1.345	-0.962	1.568	-1.076	-0.223	-1.055	0.68
K02015	K02015	ABC.FEV.P	iron complex transport system permease protein	""	""	109	0.342	-0.089	0.342	0.408	-0.089	-0.524	0.52	-0.524	0.265	0.408	0.467	0.52	0.877	-1.672	0.567
K02016	K02015	ABC.FEV.S	iron complex transport system substrate-binding protein	""	""	109	0.342	-0.089	0.342	0.408	-0.089	-0.524	0.52	-0.524	0.265	0.408	0.467	0.52	0.877	-1.672	0.567
K02017	K02017	modC	molybdate transport system ATP-binding protein [EC:7.3.2.5]	""	map02010 ABC transporters	47	1.396	0.941	0.968	1.469	0.941	-0.638	-1.107	-0.638	1.313	-0.578	-1.053	1.594	-1.486	-1.767	1.649
K02018	K02018	modB	molybdate transport system permease protein	""	map02010 ABC transporters	49	1.365	0.912	1.365	1.437	0.912	-0.107	-1.138	-0.668	1.282	-0.608	-1.083	1.561	-1.519	-1.803	1.615
K02019	K02019	modE	molybdate transport system regulatory protein	""	""	31	0.838	1.209	-0.66	-0.306	1.209	-0.377	-0.84	-0.377	1.598	-0.727	-0.787	1.907	-1.206	-1.467	1.209
K02020	K02020	modA	molybdate transport system substrate-binding protein	""	map02010 ABC transporters	44	1.445	0.987	1.445	-0.531	0.987	0.586	-1.061	-0.593	1.361	-0.531	-1.007	1.645	-1.437	-1.714	1.701
K02021	K02021	ABC.MR	putative ABC transport system ATP-binding protein	""	""	74	-1.319	-0.868	-0.89	1.067	0.559	0.711	-1.512	-1.023	0.92	-1.39	1.128	1.183	0.095	0.972	-1.566
K02022	K02022	ABC.MR.TX	HlyD family secretion protein	""	""	29	1.732	1.249	-0.622	1.399	-0.189	-0.339	-0.802	-0.339	-0.081	-0.689	-0.748	1.179	-0.233	-0.36	-0.85
K02024	K02024	lamB	maltoporin	""	""	3	0.412	0.842	0.412	0.989	0.842	1.481	0.236	0.692	1.172	0.346	0.288	0.236	-0.116	-0.359	0.189
K02025	K02025	ABC.MS.P	multiple sugar transport system permease protein	""	""	74	0.998	0.559	-0.477	-1.39	0.559	-1.023	-0.49	0.711	-1.237	1.067	-1.454	-1.512	1.567	1.857	-1.566
K02026	K02026	ABC.MS.P1	multiple sugar transport system permease protein	""	""	77	0.954	0.516	0.523	-1.437	0.516	-1.067	-0.537	0.668	-1.282	1.023	-1.502	-1.561	1.519	1.803	-1.615
K02027	K02027	ABC.MS.S	multiple sugar transport system substrate-binding protein	""	""	96	0.642	0.208	-1.279	0.709	0.208	-0.21	0.821	0.359	-1.619	0.709	0.768	-1.931	1.186	1.447	-1.995
K02030	K02030	ABC.PA.S	polar amino acid transport system substrate-binding protein	""	""	117	0.044	-0.386	0.044	0.11	-1.894	-0.236	0.221	-0.236	-0.032	0.11	-2.609	0.221	0.575	0.821	0.269
K02033	K02033	ABC.PE.P	peptide/nickel transport system permease protein	""	map02024 Quorum sensing	117	0.044	-0.386	0.044	0.11	-0.386	-0.236	-0.231	-0.236	-0.032	0.11	-3.124	0.221	0.575	0.821	0.269
K02034	K02034	ABC.PE.P1	peptide/nickel transport system permease protein	""	map02024 Quorum sensing	75	0.984	0.544	0.984	1.052	0.544	0.697	0.776	0.697	0.905	1.052	-1.47	1.168	-1.957	-0.902	1.218
K02035	K02035	ABC.PE.S	peptide/nickel transport system substrate-binding protein	""	map02024 Quorum sensing	120	-0.132	-0.562	-0.132	-0.066	-0.562	-0.412	-0.447	-0.412	-0.208	-0.066	-2.29	0.044	0.398	0.642	0.092
K02036	K02036	pstB	phosphate transport system ATP-binding protein [EC:7.3.2.1]	""	map02010 ABC transporters	68	-1.229	0.643	1.085	-0.888	0.643	-0.936	-1.42	-0.936	-1.149	1.154	-1.363	-1.42	1.664	1.967	-1.09
K02038	K02036	pstA	phosphate transport system permease protein	""	map02010 ABC transporters	68	-1.229	0.643	1.085	-0.888	0.643	-0.936	-1.42	-0.936	-1.149	1.154	-1.363	-1.42	1.664	1.967	-1.09
K02037	K02037	pstC	phosphate transport system permease protein	""	map02010 ABC transporters	67	-1.215	0.657	1.1	-0.873	0.657	-0.922	-1.405	-0.922	-1.134	1.169	-1.348	-1.405	1.68	1.646	-1.075
K02039	K02039	phoU	phosphate transport system protein	""	""	77	-1.365	0.516	0.954	-1.025	0.516	-1.067	-1.561	-1.067	-1.282	1.023	-1.502	-1.561	1.519	1.803	1.188
K02040	K02040	pstS	phosphate transport system substrate-binding protein	""	map02010 ABC transporters,map02020 Two-component system,map05152 Tuberculosis	90	-1.586	0.314	0.749	0.817	0.314	-1.277	-1.405	-1.277	0.672	0.817	0.876	-1.405	1.299	1.566	-1.099
K02041	K02041	phnC	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	""	map02010 ABC transporters	30	-0.642	-0.208	1.709	-0.286	-0.208	1.39	1.931	1.39	-0.564	-0.286	-0.768	-0.821	-1.186	-0.015	-0.87
K02042	K02042	phnE	phosphonate transport system permease protein	""	map02010 ABC transporters	23	-0.496	-0.064	1.886	-0.134	-0.064	1.548	2.132	1.548	-0.419	-0.134	-0.622	-0.674	-1.035	-1.29	-0.722
K02044	K02042	phnD	phosphonate transport system substrate-binding protein	""	map02010 ABC transporters	23	-0.496	-0.064	1.886	-0.134	-0.064	1.548	2.132	1.548	-0.419	-0.134	-0.622	-0.674	-1.035	-1.29	-0.722
K06162	K02042	phnM	alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]	""	map00440 Phosphonate and phosphinate metabolism,map01100 Metabolic pathways	23	-0.496	-0.064	1.886	-0.134	-0.064	1.548	2.132	1.548	-0.419	-0.134	-0.622	-0.674	-1.035	-1.29	-0.722
K02045	K02045	cysA	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	Sulfate-sulfur assimilation	map00920 Sulfur metabolism,map02010 ABC transporters	10	-0.092	0.339	-0.092	2.698	0.339	0.802	0.176	0.189	0.493	-0.158	-0.216	-0.269	-0.623	-0.87	-0.316
K02046	K02046	cysU	sulfate/thiosulfate transport system permease protein	Sulfate-sulfur assimilation	map00920 Sulfur metabolism,map02010 ABC transporters	8	0.008	0.438	0.008	3.074	0.438	0.918	-0.169	0.288	0.084	-0.058	-0.117	-0.169	-0.523	-0.768	-0.216
K02047	K02046	cysW	sulfate/thiosulfate transport system permease protein	Sulfate-sulfur assimilation	map00920 Sulfur metabolism,map02010 ABC transporters	8	0.008	0.438	0.008	3.074	0.438	0.918	-0.169	0.288	0.084	-0.058	-0.117	-0.169	-0.523	-0.768	-0.216
K02048	K02046	cysP	sulfate/thiosulfate transport system substrate-binding protein	Sulfate-sulfur assimilation	map00920 Sulfur metabolism,map02010 ABC transporters	8	0.008	0.438	0.008	3.074	0.438	0.918	-0.169	0.288	0.084	-0.058	-0.117	-0.169	-0.523	-0.768	-0.216
K02049	K02049	ABC.SN.A	NitT/TauT family transport system ATP-binding protein	""	""	93	-1.645	0.263	-0.798	0.764	0.263	0.413	0.877	-1.332	0.619	0.764	-1.795	0.479	0.54	-0.109	0.926
K02050	K02050	ABC.SN.P	NitT/TauT family transport system permease protein	""	""	95	0.66	0.226	-0.838	0.727	-1.209	0.377	0.84	-1.37	-0.325	0.727	-1.839	0.441	0.5	-0.159	0.889
K02051	K02051	ABC.SN.S	NitT/TauT family transport system substrate-binding protein	""	""	47	1.396	0.941	0.554	1.469	-0.486	1.097	-1.107	-0.638	0.419	-0.578	1.534	-1.107	-0.79	-1.426	1.649
K02052	K02052	ABC.SP.A	putative spermidine/putrescine transport system ATP-binding protein	""	map02024 Quorum sensing	24	-0.519	1.358	-0.074	1.944	-0.086	-0.236	-0.292	0.963	0.477	1.944	-0.644	-0.697	-0.342	-1.314	-0.745
K02053	K02053	ABC.SP.P	putative spermidine/putrescine transport system permease protein	""	map02024 Quorum sensing	8	0.008	0.438	0.509	0.426	0.438	0.288	0.293	1.591	1.106	0.426	-0.117	-0.169	-0.523	-0.768	-0.216
K02054	K02053	ABC.SP.P1	putative spermidine/putrescine transport system permease protein	""	map02024 Quorum sensing	8	0.008	0.438	0.509	0.426	0.438	0.288	0.293	1.591	1.106	0.426	-0.117	-0.169	-0.523	-0.768	-0.216
K02055	K02053	ABC.SP.S	putative spermidine/putrescine transport system substrate-binding protein	""	map02024 Quorum sensing	8	0.008	0.438	0.509	0.426	0.438	0.288	0.293	1.591	1.106	0.426	-0.117	-0.169	-0.523	-0.768	-0.216
K02056	K02056	ABC.SS.A	simple sugar transport system ATP-binding protein [EC:7.5.2.-]	""	""	83	0.863	0.426	-1.033	-1.124	0.426	0.578	1.045	0.578	-1.378	0.931	-1.602	-1.663	1.42	1.695	-1.719
K02057	K02057	ABC.SS.P	simple sugar transport system permease protein	""	""	88	0.783	0.347	-1.12	-1.213	0.347	0.499	0.964	0.499	-0.197	0.85	-1.693	-1.756	1.335	1.604	-1.059
K02058	K02058	ABC.SS.S	simple sugar transport system substrate-binding protein	""	""	60	1.2	-0.671	-0.684	-0.771	-0.671	-0.824	-1.301	0.908	-1.034	-1.183	-1.245	-1.301	1.796	2.124	-1.352
K02062	K02062	thiQ	thiamine transport system ATP-binding protein [EC:7.6.2.15]	""	map02010 ABC transporters	29	-0.622	1.249	-0.622	1.399	-0.189	-0.339	-0.802	-0.339	1.641	1.399	-0.748	-0.802	-1.166	-1.426	2.021
K02063	K02063	thiP	thiamine transport system permease protein	""	map02010 ABC transporters	19	-0.398	1.487	-0.398	1.69	0.034	-0.116	-0.575	-0.116	1.911	1.69	-0.523	-0.575	-0.934	-1.186	-0.623
K02064	K02064	thiB, tbpA	thiamine transport system substrate-binding protein	""	map02010 ABC transporters	25	1.83	1.334	-0.54	1.499	-0.108	-0.258	-0.719	-0.258	1.736	1.499	-0.666	-0.719	-1.081	-1.338	-0.767
K02065	K02065	mlaF, linL, mkl	phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	""	map02010 ABC transporters	36	-0.749	0.405	1.157	1.663	-0.314	-0.465	-0.93	-0.465	1.5	-0.817	1.732	-0.93	-1.299	-1.566	1.856
K02066	K02066	mlaE, linK	phospholipid/cholesterol/gamma-HCH transport system permease protein	""	map02010 ABC transporters	30	-0.642	-0.208	-0.642	1.79	-0.208	-0.359	-0.821	-0.359	1.619	-0.709	1.863	-0.821	-1.186	-1.447	1.995
K02067	K02067	mlaD, linM	phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	""	map02010 ABC transporters	32	-0.679	-0.245	-0.679	1.745	-0.245	-0.396	-0.859	-0.396	1.577	-0.746	1.817	-0.859	-1.225	-0.804	1.945
K02068	K02068	STAR1, fetA	UDP-glucose/iron transport system ATP-binding protein	""	""	81	0.894	0.457	0.894	-1.502	0.457	-1.128	1.076	0.608	-1.345	-1.502	-1.168	-1.628	1.453	1.732	-0.68
K02069	K02069	STAR2, fetB	UDP-glucose/iron transport system permease protein	""	""	25	-0.54	-0.108	1.83	-0.607	1.334	-0.258	2.068	1.499	-0.463	-0.607	-0.252	-0.719	-1.081	-0.985	0.263
K02074	K02074	ABC.ZM.A	zinc/manganese transport system ATP-binding protein	""	""	43	1.462	1.003	-0.863	1.124	1.003	1.159	1.663	-0.578	1.378	-0.515	-0.991	1.663	-1.42	-1.695	-1.094
K02075	K02075	ABC.ZM.P	zinc/manganese transport system permease protein	""	""	46	1.412	0.956	-0.909	1.074	0.956	-0.062	0.845	-0.623	1.329	1.485	-0.635	1.611	-1.47	-1.749	-1.141
K02076	K02076	zurR, zur	Fur family transcriptional regulator, zinc uptake regulator	""	""	50	1.349	0.897	1.349	1.01	0.897	-0.682	1.544	1.052	-0.89	1.421	-1.098	1.544	-1.535	-1.821	-1.203
K02077	K02077	ABC.ZM.S	zinc/manganese transport system substrate-binding protein	""	""	46	1.412	0.956	-0.909	1.485	0.956	1.112	1.611	-0.623	-0.831	1.485	-0.635	1.611	-1.47	-1.749	-1.141
K02078	K02078	acpP	acyl carrier protein	Aurachin biosynthesis, anthranilate => aurachin A	map00998 Biosynthesis of various antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	120	-3.496	-0.562	-0.132	-0.066	-0.562	-0.412	0.044	-0.412	-0.208	-0.066	-0.008	0.044	0.398	0.642	0.092
K02081	K02081	agaR	DeoR family transcriptional regulator, aga operon transcriptional repressor	""	""	46	1.412	0.956	0.984	-0.977	0.956	-0.062	-1.092	-0.062	1.329	0.122	-0.251	1.611	-1.116	-0.165	-1.141
K02082	K02082	agaS	D-galactosamine 6-phosphate deaminase/isomerase [EC:3.5.99.-]	""	map00052 Galactose metabolism,map01100 Metabolic pathways	43	-0.863	-0.426	-0.863	-0.931	-0.426	-0.578	-1.045	1.159	-0.785	-0.931	-0.991	-1.045	2.124	0.895	-1.094
K02083	K02083	allC	allantoate deiminase [EC:3.5.3.9]	""	map00230 Purine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	4	0.299	0.729	0.892	0.809	0.729	0.579	0.123	0.579	1.598	0.233	0.175	0.123	-0.229	-0.472	0.076
K02086	K02086	dnaD	DNA replication protein	""	""	58	-1.085	-0.643	1.229	-1.154	-0.643	-0.796	-1.271	0.936	-1.006	-1.154	-1.216	-1.271	1.83	2.166	-1.322
K07476	K02086	yusF	toprim domain protein	""	""	58	-1.085	-0.643	1.229	-1.154	-0.643	-0.796	-1.271	0.936	-1.006	-1.154	-1.216	-1.271	1.83	2.166	-1.322
K07681	K02086	vraS	two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]	""	map02020 Two-component system	58	-1.085	-0.643	1.229	-1.154	-0.643	-0.796	-1.271	0.936	-1.006	-1.154	-1.216	-1.271	1.83	2.166	-1.322
