KO	symbol	name	module	pathways
K07588	MMAA, argK	GTPase [EC:3.6.5.-]		 
K07590	RP-L7A, rplGB	large subunit ribosomal protein L7A		map03010 Ribosome
K07636	phoR	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]		map02020 Two-component system
K07637	phoQ	two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system
K07638	envZ	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]		map02020 Two-component system,map02026 Biofilm formation - Escherichia coli
K07639	rstB	two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]		map02020 Two-component system
K07640	cpxA	two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]		map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system
K07641	creC	two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]		map02020 Two-component system
K07642	baeS, smeS	two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]		map02020 Two-component system
K07643	basS	two-component system, OmpR family, sensor histidine kinase BasS [EC:2.7.13.3]		map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system
K07644	cusS, copS, silS	two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]	Imipenem resistance, repression of porin OprD	map02020 Two-component system
K07645	qseC	two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]		map02020 Two-component system,map02024 Quorum sensing
K07648	arcB	two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]		map02020 Two-component system,map02026 Biofilm formation - Escherichia coli
K07649	tctE	two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]		map02020 Two-component system
K07650	cssS	two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]		map02020 Two-component system
K07651	resE	two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]		map02020 Two-component system
K07652	vicK	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]		map02020 Two-component system
K07653	mprB	two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]		map02020 Two-component system
K07654	mtrB	two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]		map02020 Two-component system
K07673	narX	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]		map02020 Two-component system
K07674	narQ	two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ [EC:2.7.13.3]		map02020 Two-component system
K07675	uhpB	two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]		map02020 Two-component system
K07678	barA, gacS, varS	two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]		map02020 Two-component system,map02025 Biofilm formation - Pseudomonas aeruginosa,map02026 Biofilm formation - Escherichia coli,map05111 Biofilm formation - Vibrio cholerae
K07679	evgS, bvgS	two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]		map02020 Two-component system,map05133 Pertussis
K07680	comP	two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]		map02020 Two-component system,map02024 Quorum sensing
K07681	vraS	two-component system, NarL family, vancomycin resistance sensor histidine kinase VraS [EC:2.7.13.3]		map02020 Two-component system
K07683	nreB	two-component system, NarL family, sensor histidine kinase NreB [EC:2.7.13.3]		map02020 Two-component system
K07684	narL	two-component system, NarL family, nitrate/nitrite response regulator NarL		map02020 Two-component system
K07685	narP	two-component system, NarL family, nitrate/nitrite response regulator NarP		map02020 Two-component system
K07687	rcsB	two-component system, NarL family, captular synthesis response regulator RcsB		map02020 Two-component system,map02026 Biofilm formation - Escherichia coli
K07690	evgA, bvgA	two-component system, NarL family, response regulator EvgA	Multidrug resistance, efflux pump MdtEF-TolC	map02020 Two-component system,map05133 Pertussis
K07692	degU	two-component system, NarL family, response regulator DegU		map02020 Two-component system,map02024 Quorum sensing
K07693	desR	two-component system, NarL family, response regulator DesR		map02020 Two-component system
K07694	vraR	two-component system, NarL family, vancomycin resistance associated response regulator VraR		map02020 Two-component system
K07696	nreC	two-component system, NarL family, response regulator NreC		map02020 Two-component system
K07697	kinB	two-component system, sporulation sensor kinase B [EC:2.7.13.3]		map02020 Two-component system
K07699	spo0A	two-component system, response regulator, stage 0 sporulation protein A		map02020 Two-component system,map02024 Quorum sensing
K07701	dcuS	two-component system, CitB family, sensor histidine kinase DcuS [EC:2.7.13.3]		map02020 Two-component system
K07703	dcuR	two-component system, CitB family, response regulator DcuR		map02020 Two-component system
K07704	lytS	two-component system, LytTR family, sensor histidine kinase LytS [EC:2.7.13.3]		map02020 Two-component system
K07705	lytT, lytR	two-component system, LytTR family, response regulator LytT		map02020 Two-component system
K07706	agrC, blpH, fsrC	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]		map02020 Two-component system,map02024 Quorum sensing
K07707	agrA, blpR, fsrA	two-component system, LytTR family, response regulator AgrA		map02020 Two-component system,map02024 Quorum sensing
K07708	glnL, ntrB	two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]		map02020 Two-component system
K07709	zraS, hydH	two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]		map02020 Two-component system
K07710	atoS	two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]		map02020 Two-component system
K07712	glnG, ntrC	two-component system, NtrC family, nitrogen regulation response regulator GlnG		map02020 Two-component system
K07713	zraR, hydG	two-component system, NtrC family, response regulator HydG		map02020 Two-component system
K07716	pleC	two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]		map02020 Two-component system,map04112 Cell cycle - Caulobacter
K07717	glnK	two-component system, sensor histidine kinase GlnK [EC:2.7.13.3]		map02020 Two-component system
K07718	yesM	two-component system, sensor histidine kinase YesM [EC:2.7.13.3]		map02020 Two-component system
K07720	yesN	two-component system, response regulator YesN		map02020 Two-component system
K07721	K07721	ArsR family transcriptional regulator		 
K07723	ndoAI	CopG family transcriptional regulator / antitoxin EndoAI		 
K07724	ner, nlp, sfsB	Ner family transcriptional regulator		 
K07726	K07726	putative transcriptional regulator		 
K07727	K07727	putative transcriptional regulator		 
K07729	K07729	putative transcriptional regulator		 
K07733	alpA	prophage regulatory protein		 
K07734	paiB	transcriptional regulator		 
K07735	algH	putative transcriptional regulator		 
K07736	carD	CarD family transcriptional regulator		 
K07738	nrdR	transcriptional repressor NrdR		 
K07739	ELP3, KAT9	elongator complex protein 3 (tRNA uridine(34) acetyltransferase) [EC:2.3.1.-]		 
K07741	antB	anti-repressor protein		 
K07742	ylxR	uncharacterized protein		 
K07746	parD1_3_4	antitoxin ParD1/3/4		 
K07749	frc	formyl-CoA transferase [EC:2.8.3.16]		 
K07751	pepB	PepB aminopeptidase [EC:3.4.11.23]		map00480 Glutathione metabolism,map01100 Metabolic pathways
K07755	AS3MT	arsenite methyltransferase [EC:2.1.1.137]		map05208 Chemical carcinogenesis - reactive oxygen species
K07768	senX3	two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]		map02020 Two-component system
K07777	degS	two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]		map02020 Two-component system
K07778	desK	two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]		map02020 Two-component system
K07783	uhpC	MFS transporter, OPA family, sugar phosphate sensor protein UhpC		map02020 Two-component system
K07784	uhpT	MFS transporter, OPA family, hexose phosphate transport protein UhpT		map02020 Two-component system
K07785	nrsD, nreB	MFS transporter, NRE family, putaive nickel resistance protein		map02020 Two-component system
K07786	emrY	MFS transporter, DHA2 family, multidrug resistance protein		map02020 Two-component system
K07787	cusA, silA	copper/silver efflux system protein		map02020 Two-component system
K07788	mdtB	multidrug efflux pump		map02020 Two-component system
K07789	mdtC	multidrug efflux pump		map02020 Two-component system
K07791	dcuA	anaerobic C4-dicarboxylate transporter DcuA		 
K07792	dcuB	anaerobic C4-dicarboxylate transporter DcuB		map02020 Two-component system
K07793	tctA	putative tricarboxylic transport membrane protein		map02020 Two-component system
K07794	tctB	putative tricarboxylic transport membrane protein		map02020 Two-component system
K07795	tctC	putative tricarboxylic transport membrane protein		map02020 Two-component system
K07797	emrK	multidrug resistance protein K		map02020 Two-component system
K07798	cusB, silB	membrane fusion protein, copper/silver efflux system		map02020 Two-component system
K07799	mdtA	membrane fusion protein, multidrug efflux system		map02020 Two-component system
K07800	agrD	AgrD protein		map02020 Two-component system,map02024 Quorum sensing
K07806	arnB, pmrH	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars,map01503 Cationic antimicrobial peptide (CAMP) resistance,map02020 Two-component system
K07810	cusF	Cu(I)/Ag(I) efflux system periplasmic protein CusF		map02020 Two-component system
K07811	torA	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]		map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map02020 Two-component system
K07812	torZ	trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]		map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K07813	agrB	accessory gene regulator B		map02020 Two-component system,map02024 Quorum sensing
K07816	E2.7.6.5	GTP pyrophosphokinase [EC:2.7.6.5]		map00230 Purine metabolism,map01100 Metabolic pathways
K07821	torY	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY		map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K07862	sstT	serine/threonine transporter		 
K07978	plmA	GntR family transcriptional regulator		 
K07979	ytrA	GntR family transcriptional regulator		 
K08068	siaA, neuC1	UDP-N-acetylglucosamine 2-epimerase (hydrolysing) [EC:3.2.1.183]		map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K08070	E1.3.1.74	2-alkenal reductase [EC:1.3.1.74]		 
K08077	NUDT14	UDP-sugar diphosphatase [EC:3.6.1.45]		 
K08080	CMAH	CMP-N-acetylneuraminate monooxygenase [EC:1.14.18.2]		map00520 Amino sugar and nucleotide sugar metabolism,map01250 Biosynthesis of nucleotide sugars
K08082	algZ	two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]		map02020 Two-component system
K08083	algR	two-component system, LytTR family, response regulator AlgR		map02020 Two-component system
K08084	fimT	type IV fimbrial biogenesis protein FimT		 
K08085	fimU	type IV fimbrial biogenesis protein FimU		 
K08086	fimV	pilus assembly protein FimV		 
K08087	fimW	fimbrial protein FimW		 
K08088	fimY	fimbrial regulator		 
K08092	dlgD	3-dehydro-L-gulonate 2-dehydrogenase [EC:1.1.1.130]		map00040 Pentose and glucuronate interconversions,map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways
K08093	hxlA	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	Formaldehyde assimilation, ribulose monophosphate pathway	map00030 Pentose phosphate pathway,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K08094	hxlB	6-phospho-3-hexuloisomerase [EC:5.3.1.27]	Formaldehyde assimilation, ribulose monophosphate pathway	map00030 Pentose phosphate pathway,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K08137	galP	MFS transporter, SP family, galactose:H+ symporter		 
K08138	xylE	MFS transporter, SP family, xylose:H+ symportor		 
K08139	HXT	MFS transporter, SP family, sugar:H+ symporter		map04113 Meiosis - yeast
K08151	tetA	MFS transporter, DHA1 family, tetracycline resistance protein		 
K08152	lmrP	MFS transporter, DHA1 family, multidrug resistance protein B		 
K08153	blt	MFS transporter, DHA1 family, multidrug resistance protein		 
K08159	sotB	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein		 
K08161	mdtG	MFS transporter, DHA1 family, multidrug resistance protein		 
K08162	mdtH	MFS transporter, DHA1 family, multidrug resistance protein		 
K08164	ybcL	MFS transporter, DHA1 family, putative efflux transporter		 
K08166	mmr	MFS transporter, DHA2 family, methylenomycin A resistance protein		 
K08167	smvA, qacA, lfrA	MFS transporter, DHA2 family, multidrug resistance protein	Multidrug resistance, efflux pump QacA	 
K08168	tetB	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	Tetracycline resistance, efflux pump Tet38	 
K08169	yebQ	MFS transporter, DHA2 family, multidrug resistance protein		 
K08170	norB, norC	MFS transporter, DHA2 family, multidrug resistance protein	Multidrug resistance, efflux pump NorB	 
K08173	ydfJ	MFS transporter, MHS family, metabolite:H+ symporter		 
K08177	oxlT	MFS transporter, OFA family, oxalate/formate antiporter		 
K08178	JEN	MFS transporter, SHS family, lactate transporter		 
K08191	exuT	MFS transporter, ACS family, hexuronate transporter		 
K08196	mucK	MFS transporter, AAHS family, cis,cis-muconate transporter		 
K08217	mef	MFS transporter, DHA3 family, macrolide efflux protein		 
K08218	ampG	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG		map01501 beta-Lactam resistance
K08220	FLVCR, SLC49A1_2	MFS transporter, FLVCR family, feline leukemia virus subgroup C receptor-related protein		 
K08221	yitG, ymfD, yfmO	MFS transporter, ACDE family, multidrug resistance protein		 
K08222	yqgE	MFS transporter, YQGE family, putative transporter		 
K08223	fsr	MFS transporter, FSR family, fosmidomycin resistance protein		 
K08224	ynfM	MFS transporter, YNFM family, putative membrane transport protein		 
K08225	entS	MFS transporter, ENTS family, enterobactin (siderophore) exporter		 
K08227	lplT	MFS transporter, LPLT family, lysophospholipid transporter		 
K08234	yaeR	glyoxylase I family protein		 
K08252	E2.7.10.1	receptor protein-tyrosine kinase [EC:2.7.10.1]		 
K08253	E2.7.10.2	non-specific protein-tyrosine kinase [EC:2.7.10.2]		 
K08255	cdr	CoA-disulfide reductase [EC:1.8.1.14]		 
K08256	pimA	phosphatidyl-myo-inositol alpha-mannosyltransferase [EC:2.4.1.345]		map00571 Lipoarabinomannan (LAM) biosynthesis,map01100 Metabolic pathways
K08258	sspB2, sspP, scpA	staphopain A [EC:3.4.22.48]		 
K08259	lytM	lysostaphin [EC:3.4.24.75]		 
K08280	wbbJ	lipopolysaccharide O-acetyltransferase [EC:2.3.1.-]		 
K08281	pncA	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]		map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K08282	E2.7.11.1	non-specific serine/threonine protein kinase [EC:2.7.11.1]		 
K08289	purT	phosphoribosylglycinamide formyltransferase 2 [EC:6.3.1.21]	De novo purine biosynthesis, PRPP + glutamine => IMP	map00230 Purine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K08295	abmG	2-aminobenzoate-CoA ligase [EC:6.2.1.32]		map00627 Aminobenzoate degradation,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K08296	sixA	phosphohistidine phosphatase [EC:3.1.3.-]		 
K08300	rne	ribonuclease E [EC:3.1.26.12]		map03018 RNA degradation
K08301	rng, cafA	ribonuclease G [EC:3.1.26.-]		 
K08303	prtC, trhP	U32 family peptidase [EC:3.4.-.-]		map05120 Epithelial cell signaling in Helicobacter pylori infection
K08304	mltA	membrane-bound lytic murein transglycosylase A [EC:4.2.2.-]		 
K08305	mltB	membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]		 
K08306	mltC	membrane-bound lytic murein transglycosylase C [EC:4.2.2.-]		 
K08307	mltD, dniR	membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]		 
K08308	mltE, emtA	membrane-bound lytic murein transglycosylase E [EC:4.2.2.-]		 
K08309	slt	soluble lytic murein transglycosylase [EC:4.2.2.-]		 
K08310	nudB, ntpA	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]	Tetrahydrofolate biosynthesis, GTP => THF	map00790 Folate biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K08311	nudH	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]		map03018 RNA degradation
K08312	nudE	ADP-ribose diphosphatase [EC:3.6.1.-]		map00230 Purine metabolism,map01100 Metabolic pathways
K08313	fsaA, mipB	fructose-6-phosphate aldolase 1 [EC:4.1.2.-]		 
K08314	fsaB, talC	fructose-6-phosphate aldolase 2 [EC:4.1.2.-]		 
K08315	hycI	hydrogenase 3 maturation protease [EC:3.4.23.51]		 
K08316	rsmD	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]		 
K08317	hcxA	hydroxycarboxylate dehydrogenase A [EC:1.1.1.-]		 
K08319	ltnD	L-threonate 2-dehydrogenase [EC:1.1.1.411]		 
K08320	nudG	(d)CTP diphosphatase [EC:3.6.1.65]		map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K08321	lsrF	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]		map02024 Quorum sensing
K08323	rspA, manD	mannonate dehydratase [EC:4.2.1.8]	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways
K08324	sad	succinate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.24]		map00250 Alanine, aspartate and glutamate metabolism,map00650 Butanoate metabolism,map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K08325	yqhD	NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]		map00640 Propanoate metabolism,map01100 Metabolic pathways
K08326	ypdF	aminopeptidase [EC:3.4.11.-]		 
K08348	fdnG	formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]		map02020 Two-component system
K08349	fdnH	formate dehydrogenase-N, beta subunit		map02020 Two-component system
K08350	fdnI	formate dehydrogenase-N, gamma subunit		map02020 Two-component system
K08351	bisC	biotin/methionine sulfoxide reductase [EC:1.-.-.-]		map00780 Biotin metabolism,map01100 Metabolic pathways
K08358	ttrB	tetrathionate reductase subunit B		map00920 Sulfur metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map02020 Two-component system
K08363	merT	mercuric ion transport protein		 
K08364	merP	periplasmic mercuric ion binding protein		 
K08365	merR	MerR family transcriptional regulator, mercuric resistance operon regulatory protein		 
K08368	yaaU	MFS transporter, putative metabolite transport protein		 
K08369	ydjE	MFS transporter, putative metabolite:H+ symporter		 
K08372	pepD	putative serine protease PepD [EC:3.4.21.-]		map02020 Two-component system
K08384	spoVD	stage V sporulation protein D (sporulation-specific penicillin-binding protein)		map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways
K08483	ptsI	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]		map02060 Phosphotransferase system (PTS)
K08485	ptsO, npr	phosphocarrier protein NPr		map02060 Phosphotransferase system (PTS)
K08587	cloSI	clostripain [EC:3.4.22.8]		 
K08591	plsY	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]		map00561 Glycerolipid metabolism,map00564 Glycerophospholipid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K08600	srtB	sortase B [EC:3.4.22.71]		 
K08602	pepF, pepB	oligoendopeptidase F [EC:3.4.24.-]		 
K08604	hap, nprV	vibriolysin [EC:3.4.24.25]		map05110 Vibrio cholerae infection,map05111 Biofilm formation - Vibrio cholerae
K08641	vanX	zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]	Vancomycin resistance, D-Ala-D-Lac type	map01502 Vancomycin resistance,map02020 Two-component system
K08642	lasA	LasA protease [EC:3.4.24.-]		map02024 Quorum sensing
K08643	zmpB	zinc metalloprotease ZmpB [EC:3.4.24.-]		 
K08651	E3.4.21.66	thermitase [EC:3.4.21.66]		 
K08652	C5AP, scpA, scpB	C5a peptidase [EC:3.4.21.110]		 
K08659	pepDA, pepDB	dipeptidase [EC:3.4.-.-]		 
K08676	tri	tricorn protease [EC:3.4.21.-]		 
K08678	UXS1, uxs	UDP-glucuronate decarboxylase [EC:4.1.1.35]		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K08679	GAE, cap1J	UDP-glucuronate 4-epimerase [EC:5.1.3.6]		map00053 Ascorbate and aldarate metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map01250 Biosynthesis of nucleotide sugars
K08680	menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	map00130 Ubiquinone and other terpenoid-quinone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K08681	pdxT, pdx2	pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	map00750 Vitamin B6 metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K08682	acpH	acyl carrier protein phosphodiesterase [EC:3.1.4.14]		map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways
K08691	mcl	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	Formaldehyde assimilation, serine pathway	map00630 Glyoxylate and dicarboxylate metabolism,map00660 C5-Branched dibasic acid metabolism,map00680 Methane metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K08693	yfkN	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]	Adenine ribonucleotide degradation, AMP => Urate	map00230 Purine metabolism,map00240 Pyrimidine metabolism,map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01232 Nucleotide metabolism
K08699	ccmN	carbon dioxide concentrating mechanism protein CcmN		 
K08713	lctB	potassium channel LctB		 
K08714	VGSC	voltage-gated sodium channel		 
K08717	utp	urea transporter		 
K08720	ompU	outer membrane protein OmpU		map01501 beta-Lactam resistance,map05111 Biofilm formation - Vibrio cholerae
K08721	oprJ	outer membrane protein, multidrug efflux system	Multidrug resistance, efflux pump MexCD-OprJ	 
K08722	yfbR	5'-deoxynucleotidase [EC:3.1.3.89]		map00230 Purine metabolism,map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K08723	yjjG	pyrimidine 5'-nucleotidase [EC:3.1.3.-]		map00240 Pyrimidine metabolism,map01100 Metabolic pathways,map01232 Nucleotide metabolism
K08724	pbpB	penicillin-binding protein 2B		map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways
K08728	E2.4.2.6	nucleoside deoxyribosyltransferase [EC:2.4.2.6]		 
K08738	CYC	cytochrome c		map00190 Oxidative phosphorylation,map01100 Metabolic pathways,map01524 Platinum drug resistance,map02020 Two-component system,map04115 p53 signaling pathway,map04210 Apoptosis,map04214 Apoptosis - fly,map04215 Apoptosis - multiple species,map04932 Non-alcoholic fatty liver disease,map05010 Alzheimer disease,map05012 Parkinson disease,map05014 Amyotrophic lateral sclerosis,map05016 Huntington disease,map05017 Spinocerebellar ataxia,map05020 Prion disease,map05022 Pathways of neurodegeneration - multiple diseases,map05130 Pathogenic Escherichia coli infection,map05131 Shigellosis,map05132 Salmonella infection,map05134 Legionellosis,map05145 Toxoplasmosis,map05152 Tuberculosis,map05160 Hepatitis C,map05161 Hepatitis B,map05162 Measles,map05163 Human cytomegalovirus infection,map05164 Influenza A,map05167 Kaposi sarcoma-associated herpesvirus infection,map05168 Herpes simplex virus 1 infection,map05169 Epstein-Barr virus infection,map05170 Human immunodeficiency virus 1 infection,map05200 Pathways in cancer,map05210 Colorectal cancer,map05222 Small cell lung cancer,map05416 Viral myocarditis,map05417 Lipid and atherosclerosis
K08744	CRLS	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]		map00564 Glycerophospholipid metabolism,map01100 Metabolic pathways
K08776	NPEPPS	puromycin-sensitive aminopeptidase [EC:3.4.11.14]		 
K08777	nprB	neutral peptidase B [EC:3.4.24.-]		map02024 Quorum sensing
K08884	K08884	serine/threonine protein kinase, bacterial [EC:2.7.11.1]		 
K08930	pucA	light-harvesting protein B-800-850 alpha chain		map02020 Two-component system
K08952	csmI	chlorosome envelope protein I		 
K08953	csmJ	chlorosome envelope protein J		 
K08954	csmX	chlorosome envelope protein X		 
K08961	K08961	chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]		 
K08963	mtnA	methylthioribose-1-phosphate isomerase [EC:5.3.1.23]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K08964	mtnB	methylthioribulose-1-phosphate dehydratase [EC:4.2.1.109]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K08966	mtnX	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase [EC:3.1.3.87]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K08968	msrC	L-methionine (R)-S-oxide reductase [EC:1.8.4.14]		map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K08969	mtnE, mtnV	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]	Methionine salvage pathway	map00270 Cysteine and methionine metabolism,map01100 Metabolic pathways
K08970	rcnA	nickel/cobalt transporter (NicO) family protein		 
K08972	K08972	putative membrane protein		 
K08973	hemJ	protoporphyrinogen IX oxidase [EC:1.3.99.-]	Heme biosynthesis, plants and bacteria, glutamate => heme	map00860 Porphyrin metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01240 Biosynthesis of cofactors
K08974	K08974	putative membrane protein		 
K08976	K08976	putative membrane protein		 
K08978	TC.BAT1	bacterial/archaeal transporter family protein		 
K08981	K08981	putative membrane protein		 
K08982	K08982	putative membrane protein		 
K08983	K08983	putative membrane protein		 
K08984	yjdF	putative membrane protein		 
K08986	ycgQ	putative membrane protein		 
K08987	K08987	putative membrane protein		 
K08988	K08988	putative membrane protein		 
K08989	K08989	putative membrane protein		 
K08990	ycjF	putative membrane protein		 
K08992	lapA	lipopolysaccharide assembly protein A		 
K08995	K08995	putative membrane protein		 
K08996	yagU	putative membrane protein		 
K08997	SELENOO, selO	serine/tyrosine/threonine adenylyltransferase [EC:2.7.7.-]		 
K08998	K08998	uncharacterized protein		 
K08999	K08999	uncharacterized protein		 
K09001	anmK	anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]		map00520 Amino sugar and nucleotide sugar metabolism,map01100 Metabolic pathways,map01250 Biosynthesis of nucleotide sugars
K09002	csm3	CRISPR-associated protein Csm3		 
K09004	K09004	uncharacterized protein		 
K09005	K09005	uncharacterized protein		 
